tool_id,period_start_date,received_qty,realized_shots,cumulative_realized_shots
T10003,2024-09-01,34699,173495,2033005
T10003,2024-10-01,58318,291590,2324595
T10003,2024-11-01,56217,281085,2605680
T10003,2024-12-01,37340,186700,2792380
T10003,2025-01-01,44467,222335,3014715
T10003,2025-02-01,66912,334560,3349275
T10003,2025-03-01,28083,140415,3489690
T10003,2025-04-01,34744,173720,3663410
T10003,2025-05-01,51846,259230,3922640
T10003,2025-06-01,40630,203150,4125790
T10004,2024-01-01,8627,19548,19548
T10004,2024-02-01,7647,17328,36876
T10004,2024-03-01,10175,23056,59932
T10004,2024-04-01,7994,18114,78046
T10004,2024-05-01,10523,23845,101891
T10004,2024-06-01,5793,13126,115017
T10004,2024-07-01,11539,26147,141164
T10004,2024-08-01,4825,10933,152097
T10004,2024-09-01,7116,16124,168221
T10004,2024-10-01,7732,17520,185741
T10004,2024-11-01,10880,24654,210395
T10004,2024-12-01,10466,23715,234110
T10004,2025-01-01,9311,21098,255208
T10004,2025-02-01,6468,14656,269864
T10004,2025-03-01,8481,19217,289081
T10004,2025-04-01,5919,17025,306106
T10004,2025-05-01,7079,16041,322147
T10004,2025-06-01,8086,18322,340469
T10005,2024-01-01,46184,172081,172081
T10005,2024-02-01,48815,181884,353965
T10005,2024-03-01,63584,236913,590878
T10005,2024-04-01,39840,148443,739321
T10005,2024-05-01,36936,137623,876944
T10005,2024-06-01,61721,355364,1232308
T10005,2024-07-01,36952,137683,1369991
T10005,2024-08-01,46620,173706,1543697
T10005,2024-09-01,44089,164275,1707972
T10005,2024-10-01,24847,92579,1800551
T10005,2024-11-01,48644,181247,1981798
T10005,2024-12-01,48910,182238,2164036
T10005,2025-01-01,53365,198837,2362873
T10005,2025-02-01,37431,139467,2502340
T10005,2025-03-01,51027,190126,2692466
T10005,2025-04-01,49834,185681,2878147
T10005,2025-05-01,53067,197727,3075874
T10005,2025-06-01,40386,150478,3226352
T10006,2024-01-01,48781,158050,158050
T10006,2024-02-01,3757,19202,177252
T10006,2024-03-01,2003,6489,183741
T10006,2024-04-01,2062,9790,193531
T10006,2024-05-01,2406,7795,201326
T10006,2024-06-01,2754,8922,210248
T10006,2024-07-01,2012,6518,216766
T10006,2024-08-01,4404,14268,231034
T10006,2024-09-01,569,1843,232877
T10006,2024-10-01,2525,8181,241058
T10006,2024-11-01,1667,5401,246459
T10006,2024-12-01,4187,13565,260024
T10006,2025-01-01,67,217,260241
T10006,2025-02-01,1465,4746,264987
T10006,2025-03-01,4475,14499,279486
T10006,2025-04-01,4625,14985,294471
T10006,2025-05-01,48610,210145,504616
T10006,2025-06-01,4031,13060,517676
T10007,2024-01-01,31959,34515,34515
T10007,2024-02-01,23179,25033,59548
T10007,2024-03-01,15083,24927,84475
T10007,2024-04-01,26933,29087,113562
T10007,2024-05-01,25684,27738,141300
T10007,2024-06-01,32344,34931,176231
T10007,2024-07-01,23225,25083,201314
T10007,2024-08-01,24331,26277,227591
T10007,2024-09-01,19537,30924,258515
T10007,2024-10-01,31896,34447,292962
T10007,2024-11-01,23175,25029,317991
T10007,2024-12-01,22945,24780,342771
T10007,2025-01-01,27546,29749,372520
T10007,2025-02-01,24403,26355,398875
T10007,2025-03-01,24456,26412,425287
T10007,2025-04-01,25394,27425,452712
T10007,2025-05-01,35731,38589,491301
T10007,2025-06-01,31046,33529,524830
T10008,2024-01-01,36940,140187,140187
T10008,2024-02-01,31545,119713,259900
T10008,2024-03-01,29648,157119,417019
T10008,2024-04-01,44501,168881,585900
T10008,2024-05-01,34393,130521,716421
T10008,2024-06-01,41249,156539,872960
T10008,2024-07-01,29484,111891,984851
T10008,2024-08-01,38603,146498,1131349
T10008,2024-09-01,40992,155564,1286913
T10008,2024-10-01,31905,121079,1407992
T10008,2024-11-01,41559,157716,1565708
T10008,2024-12-01,44479,168797,1734505
T10008,2025-01-01,43362,164558,1899063
T10008,2025-02-01,33091,125580,2024643
T10008,2025-03-01,43093,163537,2188180
T10008,2025-04-01,17308,65683,2253863
T10008,2025-05-01,40018,151868,2405731
T10008,2025-06-01,26685,101269,2507000
T10009,2024-01-01,26397,28508,28508
T10009,2024-02-01,28476,30754,59262
T10009,2024-03-01,31146,33637,92899
T10009,2024-04-01,22528,24330,117229
T10009,2024-05-01,33588,36275,153504
T10009,2024-06-01,27447,29642,183146
T10009,2024-07-01,25066,27071,210217
T10009,2024-08-01,28996,31315,241532
T10009,2024-09-01,24212,26148,267680
T10009,2024-10-01,23016,24857,292537
T10009,2024-11-01,28008,30248,322785
T10009,2024-12-01,26044,38767,361552
T10009,2025-01-01,30011,32411,393963
T10009,2025-02-01,28243,30502,424465
T10009,2025-03-01,25330,27356,451821
T10009,2025-04-01,20806,22470,474291
T10009,2025-05-01,22523,24324,498615
T10009,2025-06-01,27059,29223,527838
T10010,2024-01-01,16606,146132,146132
T10010,2024-02-01,16597,146053,292185
T10010,2024-03-01,10835,128463,420648
T10010,2024-04-01,15156,133372,554020
T10010,2024-05-01,17948,157942,711962
T10010,2024-06-01,8298,73022,784984
T10010,2024-07-01,11827,104077,889061
T10010,2024-08-01,11551,101648,990709
T10010,2024-09-01,18906,166372,1157081
T10010,2024-10-01,19460,171248,1328329
T10010,2024-11-01,10298,137933,1466262
T10010,2024-12-01,16799,147831,1614093
T10010,2025-01-01,16015,140932,1755025
T10010,2025-02-01,13000,114400,1869425
T10010,2025-03-01,16668,202481,2071906
T10010,2025-04-01,15591,137200,2209106
T10010,2025-05-01,15833,139330,2348436
T10010,2025-06-01,16539,193875,2542311
T10011,2024-01-01,37128,234834,234834
T10011,2024-02-01,52360,331177,566011
T10011,2024-03-01,46536,294340,860351
T10011,2024-04-01,32773,207289,1067640
T10011,2024-05-01,58832,372112,1439752
T10011,2024-06-01,38073,240811,1680563
T10011,2024-07-01,32245,279343,1959906
T10011,2024-08-01,45402,287167,2247073
T10011,2024-09-01,37878,239578,2486651
T10011,2024-10-01,27764,175607,2662258
T10011,2024-11-01,53740,339905,3002163
T10011,2024-12-01,32315,204392,3206555
T10011,2025-01-01,44100,278932,3485487
T10011,2025-02-01,37976,240198,3725685
T10011,2025-03-01,33776,213633,3939318
T10011,2025-04-01,27945,176752,4116070
T10011,2025-05-01,36532,231064,4347134
T10011,2025-06-01,42304,267572,4614706
T10012,2024-01-01,15590,106495,106495
T10012,2024-02-01,19364,132275,238770
T10012,2024-03-01,13144,89786,328556
T10012,2024-04-01,16605,113428,441984
T10012,2024-05-01,12330,84226,526210
T10012,2024-06-01,15481,105750,631960
T10012,2024-07-01,12515,85489,717449
T10012,2024-08-01,15874,108435,825884
T10012,2024-09-01,11643,79533,905417
T10012,2024-10-01,14707,100463,1005880
T10012,2024-11-01,12954,88488,1094368
T10012,2024-12-01,16111,110054,1204422
T10012,2025-01-01,14914,101877,1306299
T10012,2025-02-01,13518,92341,1398640
T10012,2025-03-01,13522,92368,1491008
T10012,2025-04-01,9738,66520,1557528
T10012,2025-05-01,11058,75537,1633065
T10012,2025-06-01,7988,54566,1687631
T10013,2024-01-01,1981,12302,12302
T10013,2024-02-01,266,2143,14445
T10013,2024-03-01,54,335,14780
T10013,2024-04-01,1174,7290,22070
T10013,2024-05-01,389,2415,24485
T10013,2024-06-01,16899,104942,129427
T10013,2024-07-01,1812,11252,140679
T10013,2024-08-01,753,4676,145355
T10013,2024-09-01,42,260,145615
T10013,2024-10-01,696,4322,149937
T10013,2024-11-01,1171,7271,157208
T10013,2024-12-01,21,130,157338
T10013,2025-01-01,16899,104942,262280
T10013,2025-02-01,68,422,262702
T10013,2025-03-01,32,198,262900
T10013,2025-04-01,1220,7576,270476
T10013,2025-05-01,1021,6340,276816
T10013,2025-06-01,19,117,276933
T10014,2024-01-01,24337,175469,175469
T10014,2024-02-01,28265,203790,379259
T10014,2024-03-01,28081,202464,581723
T10014,2024-04-01,33691,242912,824635
T10014,2024-05-01,21166,152606,977241
T10014,2024-06-01,26905,193985,1171226
T10014,2024-07-01,32614,235146,1406372
T10014,2024-08-01,34287,247209,1653581
T10014,2024-09-01,23137,166817,1820398
T10014,2024-10-01,33642,242558,2062956
T10014,2024-11-01,42634,307391,2370347
T10014,2024-12-01,26315,189731,2560078
T10014,2025-01-01,42079,303389,2863467
T10014,2025-02-01,31433,226631,3090098
T10014,2025-03-01,31142,224533,3314631
T10014,2025-04-01,26832,193458,3508089
T10014,2025-05-01,17433,125691,3633780
T10014,2025-06-01,19816,142873,3776653
T10015,2024-01-01,36879,43683,43683
T10015,2024-02-01,31959,37855,81538
T10015,2024-03-01,41786,70209,151747
T10015,2024-04-01,42617,50479,202226
T10015,2024-05-01,42046,49803,252029
T10015,2024-06-01,41927,49662,301691
T10015,2024-07-01,33712,39931,341622
T10015,2024-08-01,54866,64988,406610
T10015,2024-09-01,23164,27437,434047
T10015,2024-10-01,37909,44903,478950
T10015,2024-11-01,39775,47113,526063
T10015,2024-12-01,35599,42167,568230
T10015,2025-01-01,45095,53415,621645
T10015,2025-02-01,54187,64184,685829
T10015,2025-03-01,40430,47889,733718
T10015,2025-04-01,33976,40244,773962
T10015,2025-05-01,46354,54906,828868
T10015,2025-06-01,50919,60313,889181
T10016,2024-01-01,22150,196138,196138
T10016,2024-02-01,13376,118444,314582
T10016,2024-03-01,20656,182908,497490
T10016,2024-04-01,27074,239740,737230
T10016,2024-05-01,19377,171583,908813
T10016,2024-06-01,21854,193517,1102330
T10016,2024-07-01,21350,189054,1291384
T10016,2024-08-01,19903,227638,1519022
T10016,2024-09-01,23449,207640,1726662
T10016,2024-10-01,21276,188398,1915060
T10016,2024-11-01,9555,84609,1999669
T10016,2024-12-01,13949,123518,2123187
T10016,2025-01-01,15991,193969,2317156
T10016,2025-02-01,28387,251366,2568522
T10016,2025-03-01,26108,231186,2799708
T10016,2025-04-01,19823,280443,3080151
T10016,2025-05-01,17521,155148,3235299
T10016,2025-06-01,19193,169954,3405253
T10017,2024-01-01,28386,33623,33623
T10017,2024-02-01,20759,24589,58212
T10017,2024-03-01,19033,22544,80756
T10017,2024-04-01,18510,21925,102681
T10017,2024-05-01,27271,45460,148141
T10017,2024-06-01,24158,28615,176756
T10017,2024-07-01,32353,38322,215078
T10017,2024-08-01,25045,29665,244743
T10017,2024-09-01,26107,30923,275666
T10017,2024-10-01,25277,29940,305606
T10017,2024-11-01,28465,33716,339322
T10017,2024-12-01,28631,33913,373235
T10017,2025-01-01,27292,32327,405562
T10017,2025-02-01,23247,27536,433098
T10017,2025-03-01,20854,24701,457799
T10017,2025-04-01,24000,28427,486226
T10017,2025-05-01,27003,31985,518211
T10017,2025-06-01,15855,18780,536991
T10018,2024-01-01,3703,18737,18737
T10018,2024-02-01,4372,22122,40859
T10018,2024-03-01,3348,23546,64405
T10018,2024-04-01,4333,21924,86329
T10018,2024-05-01,4128,20887,107216
T10018,2024-06-01,4142,20958,128174
T10018,2024-07-01,3110,15736,143910
T10018,2024-08-01,3046,15412,159322
T10018,2024-09-01,3544,17932,177254
T10018,2024-10-01,2767,14001,191255
T10018,2024-11-01,3952,19997,211252
T10018,2024-12-01,3578,18104,229356
T10018,2025-01-01,4429,22410,251766
T10018,2025-02-01,3889,19678,271444
T10018,2025-03-01,3628,18357,289801
T10018,2025-04-01,3528,17851,307652
T10018,2025-05-01,3830,19379,327031
T10018,2025-06-01,3291,16652,343683
T10019,2024-01-01,8884,39089,39089
T10019,2024-02-01,7346,32322,71411
T10019,2024-03-01,5437,23922,95333
T10019,2024-04-01,6904,30377,125710
T10019,2024-05-01,8305,36542,162252
T10019,2024-06-01,8869,58719,220971
T10019,2024-07-01,8890,39116,260087
T10019,2024-08-01,8048,35411,295498
T10019,2024-09-01,8182,36000,331498
T10019,2024-10-01,8970,39468,370966
T10019,2024-11-01,6910,30404,401370
T10019,2024-12-01,7399,32555,433925
T10019,2025-01-01,6793,29889,463814
T10019,2025-02-01,9671,59688,523502
T10019,2025-03-01,7025,30910,554412
T10019,2025-04-01,7137,31402,585814
T10019,2025-05-01,6096,26822,612636
T10019,2025-06-01,9073,39921,652557
T10020,2024-01-01,4418,10161,10161
T10020,2024-02-01,4300,9890,20051
T10020,2024-03-01,2545,5853,25904
T10020,2024-04-01,4381,10076,35980
T10020,2024-05-01,4067,9354,45334
T10020,2024-06-01,4514,10382,55716
T10020,2024-07-01,3928,9034,64750
T10020,2024-08-01,4371,10053,74803
T10020,2024-09-01,3254,7484,82287
T10020,2024-10-01,4169,9588,91875
T10020,2024-11-01,3692,8491,100366
T10020,2024-12-01,4046,13590,113956
T10020,2025-01-01,4278,9839,123795
T10020,2025-02-01,3111,7155,130950
T10020,2025-03-01,4658,10713,141663
T10020,2025-04-01,5042,11596,153259
T10020,2025-05-01,5454,12544,165803
T10020,2025-06-01,4657,10711,176514
T10021,2024-01-01,6568,7802,7802
T10021,2024-02-01,4911,7731,15533
T10021,2024-03-01,4010,4763,20296
T10021,2024-04-01,4168,4951,25247
T10021,2024-05-01,5538,6579,31826
T10021,2024-06-01,4524,5374,37200
T10021,2024-07-01,8550,10157,47357
T10021,2024-08-01,4695,5577,52934
T10021,2024-09-01,2691,3196,56130
T10021,2024-10-01,3063,3638,59768
T10021,2024-11-01,5107,6067,65835
T10021,2024-12-01,5874,9702,75537
T10021,2025-01-01,4614,5481,81018
T10021,2025-02-01,4639,5511,86529
T10021,2025-03-01,5229,6212,92741
T10021,2025-04-01,5173,6145,98886
T10021,2025-05-01,6587,7825,106711
T10021,2025-06-01,6709,7970,114681
T10022,2024-01-01,44179,100109,100109
T10022,2024-02-01,1907,4321,104430
T10022,2024-03-01,1475,3342,107772
T10022,2024-04-01,4144,9390,117162
T10022,2024-05-01,1033,2340,119502
T10022,2024-06-01,256,580,120082
T10022,2024-07-01,21,69,120151
T10022,2024-08-01,3573,8096,128247
T10022,2024-09-01,1459,3306,131553
T10022,2024-10-01,804,1821,133374
T10022,2024-11-01,45669,103485,236859
T10022,2024-12-01,3034,6875,243734
T10022,2025-01-01,2735,6197,249931
T10022,2025-02-01,2227,5046,254977
T10022,2025-03-01,1164,2637,257614
T10022,2025-04-01,3968,8991,266605
T10022,2025-05-01,174,394,266999
T10022,2025-06-01,587,1330,268329
T10023,2024-01-01,49046,264848,264848
T10023,2024-02-01,45504,245721,510569
T10023,2024-03-01,47379,255846,766415
T10023,2024-04-01,36278,195901,962316
T10023,2024-05-01,48937,264259,1226575
T10023,2024-06-01,44855,242217,1468792
T10023,2024-07-01,41530,353785,1822577
T10023,2024-08-01,45051,243275,2065852
T10023,2024-09-01,39494,213267,2279119
T10023,2024-10-01,40426,218300,2497419
T10023,2024-11-01,39737,214579,2711998
T10023,2024-12-01,45237,244279,2956277
T10023,2025-01-01,51861,280049,3236326
T10023,2025-02-01,48685,262899,3499225
T10023,2025-03-01,42177,227755,3726980
T10023,2025-04-01,43714,236055,3963035
T10023,2025-05-01,51711,279239,4242274
T10023,2025-06-01,41107,221977,4464251
T10024,2024-01-01,50694,69258,69258
T10024,2024-02-01,54245,74109,143367
T10024,2024-03-01,52398,93429,236796
T10024,2024-04-01,55265,75503,312299
T10024,2024-05-01,45679,62406,374705
T10024,2024-06-01,38977,53250,427955
T10024,2024-07-01,47412,64774,492729
T10024,2024-08-01,46246,63181,555910
T10024,2024-09-01,38270,52284,608194
T10024,2024-10-01,50785,69382,677576
T10024,2024-11-01,57999,79238,756814
T10024,2024-12-01,41599,56832,813646
T10024,2025-01-01,44300,60522,874168
T10024,2025-02-01,34600,47270,921438
T10024,2025-03-01,46268,63211,984649
T10024,2025-04-01,34469,47091,1031740
T10024,2025-05-01,43156,58959,1090699
T10024,2025-06-01,19370,26463,1117162
T10025,2024-01-01,3831,4214,4214
T10025,2024-02-01,4350,4785,8999
T10025,2024-03-01,4579,5036,14035
T10025,2024-04-01,4111,4522,18557
T10025,2024-05-01,5839,6422,24979
T10025,2024-06-01,5501,6051,31030
T10025,2024-07-01,4423,4865,35895
T10025,2024-08-01,5106,5616,41511
T10025,2024-09-01,4712,5183,46694
T10025,2024-10-01,3344,3678,50372
T10025,2024-11-01,2967,3263,53635
T10025,2024-12-01,4341,4775,58410
T10025,2025-01-01,4224,4646,63056
T10025,2025-02-01,4045,4449,67505
T10025,2025-03-01,4793,5272,72777
T10025,2025-04-01,4961,5457,78234
T10025,2025-05-01,3276,3603,81837
T10025,2025-06-01,3869,4255,86092
T10026,2024-01-01,210,1617,1617
T10026,2024-02-01,192,1478,3095
T10026,2024-03-01,313,2410,5505
T10026,2024-04-01,146,1124,6629
T10026,2024-05-01,148,1139,7768
T10026,2024-06-01,580,4466,12234
T10026,2024-07-01,5190,39963,52197
T10026,2024-08-01,314,2417,54614
T10026,2024-09-01,478,3680,58294
T10026,2024-10-01,611,4704,62998
T10026,2024-11-01,167,1285,64283
T10026,2024-12-01,109,839,65122
T10026,2025-01-01,4712,36282,101404
T10026,2025-02-01,84,646,102050
T10026,2025-03-01,341,2625,104675
T10026,2025-04-01,4799,36952,141627
T10026,2025-05-01,300,2310,143937
T10026,2025-06-01,1,7,143944
T10027,2024-01-01,16176,44199,44199
T10027,2024-02-01,14809,40464,84663
T10027,2024-03-01,14901,40715,125378
T10027,2024-04-01,17813,48672,174050
T10027,2024-05-01,11428,31225,205275
T10027,2024-06-01,13229,36146,241421
T10027,2024-07-01,16108,44013,285434
T10027,2024-08-01,12302,33613,319047
T10027,2024-09-01,18695,51082,370129
T10027,2024-10-01,18951,51781,421910
T10027,2024-11-01,14632,39980,461890
T10027,2024-12-01,14537,39720,501610
T10027,2025-01-01,13370,36532,538142
T10027,2025-02-01,10357,28299,566441
T10027,2025-03-01,20619,56339,622780
T10027,2025-04-01,18451,50415,673195
T10027,2025-05-01,8802,24050,697245
T10027,2025-06-01,21990,60085,757330
T10028,2024-01-01,29750,238000,238000
T10028,2024-02-01,30466,243728,481728
T10028,2024-03-01,34070,272560,754288
T10028,2024-04-01,21312,170496,924784
T10028,2024-05-01,26584,212672,1137456
T10028,2024-06-01,29267,234136,1371592
T10028,2024-07-01,28056,224448,1596040
T10028,2024-08-01,35630,285040,1881080
T10028,2024-09-01,27755,222040,2103120
T10028,2024-10-01,19806,158448,2261568
T10028,2024-11-01,41444,331552,2593120
T10028,2024-12-01,38372,306976,2900096
T10028,2025-01-01,30157,241256,3141352
T10028,2025-02-01,25343,202744,3344096
T10028,2025-03-01,29694,237552,3581648
T10028,2025-04-01,20561,164488,3746136
T10028,2025-05-01,25200,267534,4013670
T10028,2025-06-01,26182,209456,4223126
T10029,2024-01-01,24323,145938,145938
T10029,2024-02-01,18611,111666,257604
T10029,2024-03-01,16100,96600,354204
T10029,2024-04-01,13384,80304,434508
T10029,2024-05-01,13810,82860,517368
T10029,2024-06-01,25431,152586,669954
T10029,2024-07-01,18652,111912,781866
T10029,2024-08-01,10358,62148,844014
T10029,2024-09-01,16361,98166,942180
T10029,2024-10-01,17290,103740,1045920
T10029,2024-11-01,19871,119226,1165146
T10029,2024-12-01,18221,109326,1274472
T10029,2025-01-01,19760,118560,1393032
T10029,2025-02-01,13333,127711,1520743
T10029,2025-03-01,22583,135498,1656241
T10029,2025-04-01,18050,108300,1764541
T10029,2025-05-01,17717,106302,1870843
T10029,2025-06-01,16159,96954,1967797
T10030,2024-01-01,24371,80424,80424
T10030,2024-02-01,25737,84932,165356
T10030,2024-03-01,27532,90855,256211
T10030,2024-04-01,21713,108750,364961
T10030,2024-05-01,29287,96647,461608
T10030,2024-06-01,22250,73425,535033
T10030,2024-07-01,28087,92687,627720
T10030,2024-08-01,20550,67815,695535
T10030,2024-09-01,21700,71610,767145
T10030,2024-10-01,26762,88314,855459
T10030,2024-11-01,29056,95884,951343
T10030,2024-12-01,23181,76497,1027840
T10030,2025-01-01,32980,108834,1136674
T10030,2025-02-01,19115,63079,1199753
T10030,2025-03-01,31873,150459,1350212
T10030,2025-04-01,20765,68524,1418736
T10030,2025-05-01,30269,99887,1518623
T10030,2025-06-01,29844,123125,1641748
T10031,2024-01-01,9485,10433,10433
T10031,2024-02-01,9440,10384,20817
T10031,2024-03-01,9010,9911,30728
T10031,2024-04-01,10826,11908,42636
T10031,2024-05-01,10194,11213,53849
T10031,2024-06-01,10026,11028,64877
T10031,2024-07-01,6503,7153,72030
T10031,2024-08-01,10015,11016,83046
T10031,2024-09-01,11227,12349,95395
T10031,2024-10-01,9557,10512,105907
T10031,2024-11-01,12233,13456,119363
T10031,2024-12-01,11244,12368,131731
T10031,2025-01-01,8446,9290,141021
T10031,2025-02-01,10131,11144,152165
T10031,2025-03-01,11072,12179,164344
T10031,2025-04-01,9561,10517,174861
T10031,2025-05-01,8967,9863,184724
T10031,2025-06-01,7325,8057,192781
T10032,2024-01-01,37204,88396,88396
T10032,2024-02-01,34426,81796,170192
T10032,2024-03-01,38526,91537,261729
T10032,2024-04-01,49396,117364,379093
T10032,2024-05-01,53182,126360,505453
T10032,2024-06-01,41351,98249,603702
T10032,2024-07-01,53051,126049,729751
T10032,2024-08-01,44842,106544,836295
T10032,2024-09-01,38555,91606,927901
T10032,2024-10-01,32884,78132,1006033
T10032,2024-11-01,24814,58958,1064991
T10032,2024-12-01,46476,110426,1175417
T10032,2025-01-01,55701,132345,1307762
T10032,2025-02-01,32865,78087,1385849
T10032,2025-03-01,38316,91038,1476887
T10032,2025-04-01,43807,104085,1580972
T10032,2025-05-01,22632,71424,1652396
T10032,2025-06-01,40003,95047,1747443
T10033,2024-01-01,1408,4561,4561
T10033,2024-02-01,22923,112671,117232
T10033,2024-03-01,18157,58828,176060
T10033,2024-04-01,750,2430,178490
T10033,2024-05-01,119,385,178875
T10033,2024-06-01,632,2047,180922
T10033,2024-07-01,427,1383,182305
T10033,2024-08-01,1784,5780,188085
T10033,2024-09-01,1370,4438,192523
T10033,2024-10-01,90,291,192814
T10033,2024-11-01,1070,3466,196280
T10033,2024-12-01,1251,4053,200333
T10033,2025-01-01,1413,4578,204911
T10033,2025-02-01,76,246,205157
T10033,2025-03-01,810,2624,207781
T10033,2025-04-01,1705,5524,213305
T10033,2025-05-01,1017,3295,216600
T10033,2025-06-01,35,113,216713
T10034,2024-01-01,4173,16692,16692
T10034,2024-02-01,5225,20900,37592
T10034,2024-03-01,6950,27800,65392
T10034,2024-04-01,5149,20596,85988
T10034,2024-05-01,6827,38387,124375
T10034,2024-06-01,5103,20412,144787
T10034,2024-07-01,4799,19196,163983
T10034,2024-08-01,5431,21724,185707
T10034,2024-09-01,5460,21840,207547
T10034,2024-10-01,7499,29996,237543
T10034,2024-11-01,4301,17204,254747
T10034,2024-12-01,4894,19576,274323
T10034,2025-01-01,4820,19280,293603
T10034,2025-02-01,5378,21512,315115
T10034,2025-03-01,4461,17844,332959
T10034,2025-04-01,5461,30300,363259
T10034,2025-05-01,4475,17900,381159
T10034,2025-06-01,5140,20560,401719
T10035,2024-01-01,50520,54561,54561
T10035,2024-02-01,28238,30497,85058
T10035,2024-03-01,40929,44203,129261
T10035,2024-04-01,42748,46167,175428
T10035,2024-05-01,56883,61433,236861
T10035,2024-06-01,41505,44825,281686
T10035,2024-07-01,33487,36165,317851
T10035,2024-08-01,49208,53144,370995
T10035,2024-09-01,35473,38310,409305
T10035,2024-10-01,37344,40331,449636
T10035,2024-11-01,35249,38068,487704
T10035,2024-12-01,35794,52100,539804
T10035,2025-01-01,37329,40315,580119
T10035,2025-02-01,31375,42655,622774
T10035,2025-03-01,38634,41724,664498
T10035,2025-04-01,36918,39871,704369
T10035,2025-05-01,40726,43984,748353
T10035,2025-06-01,38454,41530,789883
T10036,2024-01-01,51699,245673,245673
T10036,2024-02-01,38740,294177,539850
T10036,2024-03-01,31320,148832,688682
T10036,2024-04-01,54345,258247,946929
T10036,2024-05-01,36761,235230,1182159
T10036,2024-06-01,49348,234501,1416660
T10036,2024-07-01,49291,234230,1650890
T10036,2024-08-01,46177,219433,1870323
T10036,2024-09-01,49827,236777,2107100
T10036,2024-10-01,45852,217888,2324988
T10036,2024-11-01,63293,300768,2625756
T10036,2024-12-01,54013,256669,2882425
T10036,2025-01-01,42218,200619,3083044
T10036,2025-02-01,42434,201646,3284690
T10036,2025-03-01,47902,227630,3512320
T10036,2025-04-01,42592,202397,3714717
T10036,2025-05-01,39434,273448,3988165
T10036,2025-06-01,42329,201147,4189312
T10037,2024-01-01,2688,3045,3045
T10037,2024-02-01,1915,2169,5214
T10037,2024-03-01,2518,2852,8066
T10037,2024-04-01,2057,2330,10396
T10037,2024-05-01,2932,3321,13717
T10037,2024-06-01,2909,3295,17012
T10037,2024-07-01,2060,2333,19345
T10037,2024-08-01,1915,2169,21514
T10037,2024-09-01,2519,2854,24368
T10037,2024-10-01,2593,4343,28711
T10037,2024-11-01,2476,4438,33149
T10037,2024-12-01,2383,2699,35848
T10037,2025-01-01,3236,3666,39514
T10037,2025-02-01,1977,2239,41753
T10037,2025-03-01,2449,2774,44527
T10037,2025-04-01,2382,2698,47225
T10037,2025-05-01,2145,2430,49655
T10037,2025-06-01,2634,2984,52639
T10038,2024-01-01,20902,94727,94727
T10038,2024-02-01,25275,114546,209273
T10038,2024-03-01,26787,121398,330671
T10038,2024-04-01,19220,87105,417776
T10038,2024-05-01,22370,101380,519156
