tool_id,casco_facility,supplier,part_number,part_description,tool_owner,active_flag,sop_date,cavity_number,active_cavity_number,related_cost,injection_system_type,nature_transfer_or_first_supplier,shots_before_transfer,tool_origin,transfer_date,yearly_volume,oem,warranty_shots,shared_tool_flag
T10040,CASCO-B,SupplierW,PN-1617,Housing,CASCO,Active,2019-11-27,6,6,66076,ValveGate,Transfert,230785,CN,2020-06-10,429575,OEM3,2076714,Y
T10041,CASCO-B,SupplierY,PN-1500,Bracket,CASCO,Active,2023-02-25,1,1,215950,HotRunner,1st Supplier,0,EU,,516797,OEM2,887346,N
T10042,CASCO-C,SupplierZ,PN-7225,Clip,OEM,Active,2022-11-02,2,1,116500,HotRunner,1st Supplier,0,EU,,260821,OEM2,2398300,N
T10043,CASCO-C,SupplierY,PN-8612,Clip,CASCO,Active,2020-12-10,2,1,11080,HotRunner,1st Supplier,0,CN,,235911,OEM2,1029451,Y
T10044,CASCO-A,SupplierZ,PN-6684,Panel,CASCO,Active,2019-05-16,7,6,238412,ColdRunner,Transfert,277325,CN,2020-08-19,431322,OEM2,1499009,Y
T10045,CASCO-C,SupplierQ,PN-3358,Cover,CASCO,Active,2024-04-25,1,1,133511,HotRunner,1st Supplier,0,CN,,109095,OEM2,1445479,N
T10046,CASCO-C,SupplierZ,PN-7815,Cover,OEM,Active,2021-06-10,4,2,73114,HotRunner,1st Supplier,0,CN,,158864,OEM3,2169511,Y
T10047,CASCO-A,SupplierX,PN-1532,Housing,OEM,Active,2023-11-22,5,4,172548,ColdRunner,1st Supplier,0,CN,,368487,OEM2,1265605,Y
T10048,CASCO-C,SupplierY,PN-8452,Clip,CASCO,Active,2022-09-17,5,5,137346,HotRunner,1st Supplier,0,EU,,407703,OEM2,926029,N
T10049,CASCO-B,SupplierW,PN-9026,Panel,OEM,Active,2023-04-06,6,5,17105,HotRunner,1st Supplier,0,CN,,89410,OEM2,347546,N
T10050,CASCO-C,SupplierZ,PN-7464,Bracket,CASCO,Active,2023-02-28,7,7,192315,HotRunner,1st Supplier,0,CN,,314819,OEM1,1100092,N
T10051,CASCO-B,SupplierZ,PN-8912,Cover,CASCO,Active,2020-01-25,4,4,106325,HotRunner,1st Supplier,0,EU,,231653,OEM3,2117842,N
T10052,CASCO-C,SupplierZ,PN-6275,Cover,CASCO,Active,2020-12-28,7,6,177956,HotRunner,1st Supplier,0,EU,,311011,OEM2,321815,N
T10053,CASCO-A,SupplierY,PN-5214,Cover,Supplier,Active,2021-07-22,3,1,224952,HotRunner,1st Supplier,0,CN,,575888,OEM3,2271553,N
T10054,CASCO-A,SupplierZ,PN-3901,Housing,CASCO,Active,2021-09-22,8,6,156547,HotRunner,1st Supplier,0,EU,,64434,OEM3,1494219,Y
T10055,CASCO-C,SupplierW,PN-9294,Panel,CASCO,Active,2019-03-29,5,3,171187,ColdRunner,1st Supplier,0,EU,,597369,OEM3,608547,Y
T10056,CASCO-B,SupplierQ,PN-7274,Bracket,CASCO,Inactive,2021-12-29,6,5,71116,ValveGate,1st Supplier,0,EU,,280755,OEM3,964794,N
T10057,CASCO-B,SupplierW,PN-2714,Panel,OEM,Active,2019-11-05,8,8,67038,,1st Supplier,0,EU,,467820,OEM3,1518879,Y
T10058,CASCO-A,SupplierQ,PN-9611,Clip,CASCO,Active,2023-01-26,7,6,109600,ColdRunner,1st Supplier,0,CN,,266192,OEM2,994522,N
T10059,CASCO-A,SupplierQ,PN-1532,Clip,CASCO,Active,2022-09-28,7,5,214667,ValveGate,1st Supplier,0,EU,,200357,OEM3,538866,N
T10060,CASCO-C,SupplierX,PN-6287,Clip,Supplier,Inactive,2024-01-20,5,5,135806,ValveGate,1st Supplier,0,CN,,466947,OEM1,1765175,Y
T10061,CASCO-A,SupplierY,PN-2714,Bracket,CASCO,Active,2023-01-29,1,1,93527,ColdRunner,1st Supplier,0,EU,,418845,OEM3,1778928,Y
T10062,CASCO-B,SupplierY,PN-6978,Clip,CASCO,Active,2021-01-03,4,2,197106,,1st Supplier,0,EU,,103553,OEM1,561523,N
T10063,CASCO-A,SupplierX,PN-4713,Cover,CASCO,Active,2024-04-19,2,2,214802,ValveGate,1st Supplier,0,CN,,429135,OEM3,918714,N
T10064,CASCO-A,SupplierX,PN-4933,Housing,OEM,Active,2021-04-01,8,6,226608,ColdRunner,Transfert,466075,CN,2022-04-07,456784,OEM1,836521,Y
T10065,CASCO-A,SupplierW,PN-7043,Clip,CASCO,Inactive,2020-10-13,2,1,81746,ColdRunner,1st Supplier,0,EU,,244948,OEM2,1750729,N
T10066,CASCO-C,SupplierY,PN-7804,Clip,CASCO,Active,2023-12-17,2,2,180313,HotRunner,Transfert,519855,EU,2025-08-02,556876,OEM1,1906650,N
T10067,CASCO-C,SupplierX,PN-4420,Cover,CASCO,Active,2021-01-10,2,2,151676,HotRunner,1st Supplier,0,CN,,391715,OEM1,1899388,N
T10068,CASCO-A,SupplierY,PN-9978,Cover,OEM,Active,2019-06-02,6,5,117753,ColdRunner,1st Supplier,0,EU,,213504,OEM3,2365274,N
T10069,CASCO-B,SupplierY,PN-5485,Housing,OEM,Active,2021-07-28,5,3,105265,ColdRunner,1st Supplier,0,EU,,26222,OEM3,1991024,N
T10070,CASCO-B,SupplierX,PN-2443,Bracket,CASCO,Active,2023-05-11,8,8,37492,HotRunner,Transfert,103433,CN,2023-12-27,411477,OEM1,1005494,Y
T10071,CASCO-B,SupplierX,PN-1057,Clip,CASCO,Active,2020-01-14,4,3,75958,ColdRunner,1st Supplier,0,CN,,141253,OEM1,537030,N
T10072,CASCO-C,SupplierW,PN-2821,Bracket,OEM,Active,2021-07-14,3,3,141919,ColdRunner,1st Supplier,0,CN,,458785,OEM3,1652214,N
T10073,CASCO-A,SupplierQ,PN-7219,Housing,CASCO,Inactive,2019-09-17,1,1,222773,ValveGate,1st Supplier,0,EU,,324551,OEM3,2315226,N
T10074,CASCO-A,SupplierZ,PN-5854,Clip,CASCO,Active,2022-10-04,1,1,217921,HotRunner,1st Supplier,0,CN,,290701,OEM1,2445341,N
T10075,CASCO-B,SupplierW,PN-4040,Bracket,CASCO,Active,2021-08-09,3,3,55022,HotRunner,1st Supplier,0,EU,,114975,OEM2,806470,Y
T10076,CASCO-B,SupplierQ,PN-5331,Panel,CASCO,Active,2020-10-22,8,6,173037,ColdRunner,1st Supplier,0,CN,,432673,OEM1,820201,N
T10077,CASCO-A,SupplierQ,PN-8542,Cover,CASCO,Active,2020-03-29,5,3,30354,ValveGate,1st Supplier,0,EU,,116225,OEM3,382307,Y
T10078,CASCO-C,SupplierX,PN-6143,Bracket,CASCO,Active,2022-02-02,8,6,172003,ValveGate,Transfert,185916,CN,2023-08-15,262297,OEM2,610776,N
T10079,CASCO-A,SupplierQ,PN-1522,Clip,CASCO,Active,2022-09-01,1,1,92062,ValveGate,1st Supplier,0,CN,,505056,OEM1,1520675,N
T10080,CASCO-A,SupplierX,PN-1441,Housing,CASCO,Active,2024-02-24,1,1,117963,ValveGate,1st Supplier,0,EU,,553812,OEM1,1502967,N
T10081,CASCO-B,SupplierX,PN-5337,Clip,OEM,Inactive,2021-05-24,7,7,182233,HotRunner,Transfert,206644,CN,2021-07-18,593697,OEM2,1116029,N
T10082,CASCO-B,SupplierZ,PN-4638,Clip,CASCO,Inactive,2019-11-18,1,1,111973,HotRunner,1st Supplier,0,CN,,575646,OEM3,981901,N
T10083,CASCO-A,SupplierW,PN-8653,Housing,CASCO,Active,2023-07-24,1,1,203783,HotRunner,1st Supplier,0,EU,,342462,OEM1,2125537,N
T10084,CASCO-A,SupplierX,PN-6246,Panel,OEM,Inactive,2022-06-13,4,2,138059,ColdRunner,1st Supplier,0,EU,,136278,OEM3,1312074,N
T10085,CASCO-A,SupplierY,PN-7811,Cover,CASCO,Active,2022-11-01,8,6,249698,ValveGate,1st Supplier,0,EU,,506660,OEM2,2078153,N
T10086,CASCO-B,SupplierY,PN-6266,Housing,OEM,Active,2019-07-14,6,4,163177,HotRunner,1st Supplier,0,CN,,484945,OEM3,2419066,N
T10087,CASCO-B,SupplierY,PN-4107,Bracket,CASCO,Active,2020-09-16,1,1,81126,ColdRunner,1st Supplier,0,EU,,594386,OEM3,997705,N
T10088,CASCO-A,SupplierQ,PN-6915,Clip,OEM,Active,2023-03-16,7,7,196068,HotRunner,Transfert,590707,EU,2024-01-27,397549,OEM1,746024,N
T10089,CASCO-B,SupplierY,PN-6592,Cover,CASCO,Active,2023-07-23,7,5,107906,HotRunner,1st Supplier,0,CN,,102125,OEM1,2396378,N
T10090,CASCO-C,SupplierY,PN-7481,Clip,CASCO,Active,2021-05-20,7,7,138200,HotRunner,1st Supplier,0,CN,,311683,OEM3,1696628,Y
T10091,CASCO-A,SupplierX,PN-2702,Panel,CASCO,Active,2023-05-29,8,7,42837,,1st Supplier,0,EU,,279982,OEM1,940019,N
T10092,CASCO-C,SupplierX,PN-6773,Panel,CASCO,Active,2023-08-11,2,1,38642,ValveGate,1st Supplier,0,CN,,508909,OEM1,1668091,N
T10093,CASCO-A,SupplierX,PN-3568,Panel,CASCO,Active,2021-02-13,8,8,147969,HotRunner,Transfert,294715,EU,2022-06-13,247692,OEM2,1433125,N
T10094,CASCO-A,SupplierZ,PN-8111,Bracket,OEM,Active,2023-12-02,3,3,54805,,1st Supplier,0,EU,,210583,OEM3,2292170,Y
T10095,CASCO-A,SupplierZ,PN-8185,Bracket,OEM,Active,2020-07-30,7,7,249419,ColdRunner,1st Supplier,0,EU,,66428,OEM3,863123,N
T10096,CASCO-A,SupplierZ,PN-6622,Panel,CASCO,Active,2020-04-24,5,5,215361,HotRunner,1st Supplier,0,CN,,504564,OEM2,2481042,N
T10097,CASCO-A,SupplierQ,PN-9519,Cover,OEM,Active,2022-09-26,7,7,178211,HotRunner,1st Supplier,0,CN,,458091,OEM1,2359295,N
T10098,CASCO-B,SupplierZ,PN-5837,Bracket,OEM,Active,2022-06-27,6,4,186327,ValveGate,1st Supplier,0,CN,,43912,OEM2,697544,Y
T10099,CASCO-B,SupplierX,PN-1226,Cover,OEM,Active,2019-10-07,6,5,152851,HotRunner,Transfert,234957,CN,2020-09-04,271591,OEM3,662137,N
T10100,CASCO-C,SupplierY,PN-6455,Panel,CASCO,Active,2023-07-24,5,3,24469,ValveGate,1st Supplier,0,EU,,298236,OEM1,1472945,Y
T10101,CASCO-B,SupplierY,PN-7998,Cover,CASCO,Active,2020-02-04,7,5,104168,HotRunner,Transfert,593206,EU,2021-08-18,292209,OEM2,398803,Y
T10102,CASCO-B,SupplierQ,PN-1910,Bracket,CASCO,Active,2023-05-29,6,4,128992,ColdRunner,1st Supplier,0,CN,,552980,OEM1,957355,N
T10103,CASCO-B,SupplierY,PN-1941,Clip,CASCO,Active,2019-01-15,2,2,229671,ValveGate,Transfert,58926,CN,2019-08-12,107390,OEM1,1257213,N
T10104,CASCO-A,SupplierX,PN-3458,Bracket,Supplier,Active,2023-05-13,7,7,62677,HotRunner,Transfert,92810,EU,2023-06-30,197679,OEM1,2432621,Y
T10105,CASCO-C,SupplierW,PN-8597,Cover,CASCO,Active,2023-04-23,5,3,129259,HotRunner,Transfert,298879,CN,2024-08-06,124937,OEM3,2483226,N
T10106,CASCO-A,SupplierZ,PN-5746,Bracket,CASCO,Active,2023-04-10,3,3,92575,ValveGate,1st Supplier,0,CN,,161569,OEM3,633387,N
T10107,CASCO-C,SupplierX,PN-9786,Clip,CASCO,Active,2022-08-22,5,5,42248,HotRunner,1st Supplier,0,CN,,546120,OEM1,2261689,N
T10108,CASCO-C,SupplierW,PN-8856,Housing,Supplier,Inactive,2021-08-01,8,6,34724,HotRunner,1st Supplier,0,EU,,565618,OEM3,500043,N
T10109,CASCO-C,SupplierY,PN-5992,Panel,CASCO,Active,2022-11-11,7,5,97690,HotRunner,1st Supplier,0,CN,,45896,OEM2,1946937,N
T10110,CASCO-B,SupplierQ,PN-7110,Cover,CASCO,Active,2020-07-08,7,5,29781,HotRunner,1st Supplier,0,EU,,386613,OEM3,2160413,N
T10111,CASCO-A,SupplierQ,PN-3978,Cover,OEM,Active,2023-04-11,4,2,26120,ColdRunner,Transfert,313889,CN,2023-06-18,155054,OEM3,2259743,N
T10112,CASCO-C,SupplierY,PN-1813,Bracket,Supplier,Active,2022-01-16,7,7,94208,ColdRunner,Transfert,133217,EU,2023-04-26,131685,OEM1,791519,N
T10113,CASCO-A,SupplierZ,PN-4588,Cover,CASCO,Inactive,2021-07-06,4,2,58474,HotRunner,1st Supplier,0,CN,,189394,OEM3,2265582,N
T10114,CASCO-B,SupplierZ,PN-6329,Housing,OEM,Inactive,2021-10-08,6,4,143154,ValveGate,1st Supplier,0,CN,,132744,OEM2,555157,Y
T10115,CASCO-C,SupplierW,PN-2639,Bracket,OEM,Active,2022-02-11,6,4,14240,HotRunner,Transfert,311182,CN,2023-05-05,304314,OEM1,1441488,N
T10116,CASCO-C,SupplierX,PN-2995,Housing,CASCO,Active,2019-03-16,2,1,82435,HotRunner,Transfert,60241,CN,2020-08-08,597454,OEM1,1332999,N
T10117,CASCO-C,SupplierY,PN-1134,Panel,OEM,Active,2019-10-07,3,1,118787,ColdRunner,1st Supplier,0,CN,,360138,OEM3,995043,N
T10118,CASCO-A,SupplierX,PN-7605,Clip,CASCO,Active,2020-05-05,1,1,241154,ValveGate,1st Supplier,0,CN,,439481,OEM2,348651,Y
T10119,CASCO-C,SupplierW,PN-9093,Clip,CASCO,Active,2019-08-18,2,2,162289,HotRunner,Transfert,78446,CN,2020-06-15,306108,OEM2,1998427,Y
T10120,CASCO-A,SupplierX,PN-8446,Panel,CASCO,Active,2021-05-29,4,3,221372,HotRunner,1st Supplier,0,CN,,28066,OEM1,1038284,N
T10121,CASCO-B,SupplierZ,PN-4419,Clip,CASCO,Active,2022-08-29,4,4,92390,ColdRunner,1st Supplier,0,EU,,68786,OEM3,1755654,Y
T10122,CASCO-C,SupplierW,PN-6340,Clip,CASCO,Active,2022-08-01,2,2,117930,ValveGate,Transfert,591945,CN,2024-01-23,175946,OEM1,1202483,N
T10123,CASCO-B,SupplierQ,PN-9646,Panel,CASCO,Active,2021-07-31,4,4,110891,HotRunner,Transfert,196195,EU,2021-12-04,161327,OEM1,1122047,N
T10124,CASCO-C,SupplierY,PN-6321,Bracket,CASCO,Active,2023-09-07,5,3,222974,HotRunner,Transfert,483810,EU,2024-06-10,507536,OEM2,2249851,N
T10125,CASCO-B,SupplierX,PN-3662,Panel,CASCO,Active,2022-02-04,2,1,240210,ColdRunner,Transfert,327235,CN,2022-05-14,509281,OEM3,507826,N
T10126,CASCO-A,SupplierW,PN-4046,Cover,CASCO,Active,2019-06-08,3,2,240960,HotRunner,1st Supplier,0,EU,,515390,OEM1,1920558,N
T10127,CASCO-A,SupplierX,PN-7543,Clip,CASCO,Active,2023-03-10,3,1,190471,HotRunner,1st Supplier,0,EU,,389801,OEM1,1942937,N
T10128,CASCO-B,SupplierX,PN-5015,Panel,CASCO,Active,2022-02-23,5,4,130746,HotRunner,1st Supplier,0,EU,,342580,OEM2,1135981,N
T10129,CASCO-C,SupplierQ,PN-8534,Housing,CASCO,Inactive,2022-06-23,3,2,139805,HotRunner,1st Supplier,0,CN,,396506,OEM1,877413,N
T10130,CASCO-B,SupplierQ,PN-8776,Bracket,CASCO,Inactive,2022-02-04,6,6,245322,ColdRunner,1st Supplier,0,CN,,255947,OEM2,311675,N
T10131,CASCO-C,SupplierW,PN-1322,Cover,Supplier,Active,2022-01-12,3,1,78289,ValveGate,1st Supplier,0,CN,,408717,OEM1,2360988,N
T10132,CASCO-B,SupplierQ,PN-7509,Housing,CASCO,Active,2019-07-01,4,3,93209,ColdRunner,1st Supplier,0,CN,,480776,OEM1,2385009,N
T10133,CASCO-A,SupplierX,PN-4329,Panel,OEM,Active,2022-01-23,4,4,225279,ColdRunner,1st Supplier,0,EU,,462483,OEM1,830135,N
T10134,CASCO-A,SupplierX,PN-5677,Panel,CASCO,Inactive,2023-05-09,2,1,102717,ValveGate,1st Supplier,0,EU,,376021,OEM3,370204,Y
T10135,CASCO-B,SupplierY,PN-3382,Housing,OEM,Active,2020-08-30,6,4,66423,HotRunner,1st Supplier,0,CN,,53702,OEM3,570067,N
T10136,CASCO-C,SupplierX,PN-4313,Panel,Supplier,Active,2022-04-20,2,2,144512,HotRunner,1st Supplier,0,EU,,440470,OEM2,448814,N
T10137,CASCO-C,SupplierQ,PN-3973,Housing,OEM,Active,2019-03-03,3,3,88082,ValveGate,1st Supplier,0,CN,,232632,OEM2,2128447,Y
T10138,CASCO-A,SupplierX,PN-1453,Housing,CASCO,Active,2020-11-25,7,7,223809,HotRunner,Transfert,534490,EU,2022-03-07,451327,OEM3,2262205,Y
T10139,CASCO-B,SupplierZ,PN-8044,Panel,CASCO,Active,2021-05-23,8,8,228175,ColdRunner,1st Supplier,0,CN,,332925,OEM1,637225,N
T10140,CASCO-C,SupplierQ,PN-2286,Clip,CASCO,Active,2024-05-19,6,6,83442,ColdRunner,1st Supplier,0,EU,,531087,OEM2,1942826,N
T10141,CASCO-B,SupplierW,PN-4381,Housing,CASCO,Active,2020-03-05,8,6,137090,HotRunner,Transfert,522741,EU,2021-05-16,216304,OEM3,694390,N
T10142,CASCO-A,SupplierY,PN-2737,Housing,OEM,Active,2020-07-07,7,6,246158,ColdRunner,1st Supplier,0,CN,,560208,OEM3,1107859,Y
T10143,CASCO-B,SupplierZ,PN-2445,Clip,Supplier,Active,2021-03-28,4,2,188156,HotRunner,1st Supplier,0,CN,,509797,OEM1,1618642,Y
T10144,CASCO-A,SupplierZ,PN-4360,Clip,CASCO,Active,2024-06-08,7,5,61750,HotRunner,1st Supplier,0,EU,,212042,OEM3,1883838,N
T10145,CASCO-A,SupplierW,PN-9267,Housing,CASCO,Active,2023-09-03,3,2,151778,ColdRunner,1st Supplier,0,CN,,299892,OEM2,2224036,N
T10146,CASCO-B,SupplierZ,PN-9496,Bracket,CASCO,Active,2019-03-11,4,3,158773,HotRunner,1st Supplier,0,CN,,328181,OEM3,398526,N
T10147,CASCO-A,SupplierY,PN-4434,Bracket,CASCO,Active,2020-04-12,5,5,166825,ColdRunner,1st Supplier,0,EU,,465804,OEM1,732156,Y
T10148,CASCO-B,SupplierW,PN-5545,Bracket,CASCO,Active,2023-07-02,8,8,16002,ValveGate,1st Supplier,0,EU,,419711,OEM2,917118,Y
T10149,CASCO-B,SupplierQ,PN-9870,Housing,CASCO,Active,2019-04-27,7,6,81851,ValveGate,1st Supplier,0,CN,,514168,OEM3,982712,N
T10150,CASCO-B,SupplierZ,PN-3113,Clip,OEM,Active,2023-09-08,4,4,215107,HotRunner,1st Supplier,0,CN,,234523,OEM1,2495661,N
T10151,CASCO-B,SupplierX,PN-9501,Panel,CASCO,Active,2020-07-16,6,6,67929,HotRunner,1st Supplier,0,CN,,312779,OEM3,2010290,N
T10152,CASCO-A,SupplierZ,PN-1951,Cover,CASCO,Active,2024-01-10,2,2,81926,HotRunner,Transfert,551528,EU,2025-05-13,269901,OEM1,1004917,Y
T10153,CASCO-C,SupplierQ,PN-3032,Clip,CASCO,Active,2020-08-10,7,5,87398,HotRunner,1st Supplier,0,CN,,547540,OEM3,2438018,N
T10154,CASCO-C,SupplierQ,PN-4044,Clip,OEM,Active,2021-05-18,5,4,52573,ValveGate,1st Supplier,0,CN,,196888,OEM2,1398475,N
T10155,CASCO-C,SupplierZ,PN-1333,Bracket,CASCO,Active,2022-08-16,5,3,47305,HotRunner,1st Supplier,0,CN,,360531,OEM1,1401630,N
T10156,CASCO-C,SupplierX,PN-8340,Cover,CASCO,Active,2019-09-10,7,6,93283,HotRunner,1st Supplier,0,EU,,89696,OEM1,1254137,N
T10157,CASCO-B,SupplierZ,PN-8697,Cover,CASCO,Active,2022-01-19,6,6,219835,ValveGate,1st Supplier,0,CN,,513159,OEM3,616574,Y
T10158,CASCO-C,SupplierQ,PN-4449,Panel,CASCO,Active,2021-10-07,1,1,10368,HotRunner,Transfert,159869,EU,2023-01-15,242846,OEM1,2355619,N
T10159,CASCO-B,SupplierQ,PN-8526,Panel,CASCO,Active,2023-04-17,3,3,77979,HotRunner,Transfert,67088,EU,2023-11-08,217542,OEM2,330659,N
T10160,CASCO-A,SupplierX,PN-7951,Panel,CASCO,Active,2024-06-15,2,1,24550,HotRunner,1st Supplier,0,EU,,358091,OEM1,683412,N
T10161,CASCO-C,SupplierY,PN-8211,Housing,CASCO,Active,2022-08-21,6,6,144757,ColdRunner,1st Supplier,0,EU,,309313,OEM3,805243,N
T10162,CASCO-A,SupplierZ,PN-8223,Housing,Supplier,Active,2021-03-29,1,1,70144,ColdRunner,Transfert,359682,EU,2021-06-05,511826,OEM2,914454,N
T10163,CASCO-C,SupplierX,PN-6160,Cover,CASCO,Active,2021-03-23,2,1,200073,HotRunner,1st Supplier,0,EU,,328218,OEM3,590008,N
